Lon,Lat,Altitude,dateTime,Leq,SEL,Lmax,Course,Aircraft_model
106.6593772,29.75966156,30,2025/1/14 11:23,70.58,85.77,75.4,7.002,C919
106.6593772,29.75966156,30,2025/1/14 11:23,70.58,85.9,76.2,7.001,C919
106.6206944,29.65877295,18.75,2025/1/14 11:24,67.19,79.98,73,7.001,C919
106.6780293,29.76200581,26,2025/1/14 11:27,69.84,85.52,74.6,7.001,C919
106.6913009,29.78740096,40,2025/1/14 11:27,69.15,83.77,73.8,7.002,C919
106.6556865,29.74847138,21,2025/1/14 11:34,70.32,84.12,76.4,7.002,C919
106.6746497,29.80295777,46,2025/1/14 11:35,67.88,80.89,73.8,7.001,C919
106.6506708,29.73449707,16,2025/1/14 11:36,73,85.3,79.3,7.002,C919
106.6672683,29.78231549,42.25,2025/1/14 11:37,66.87,80.3,71.6,7.002,C919
106.6751003,29.75416839,22.25,2025/1/14 11:39,70,83.01,75.8,7.002,C919
106.620056,29.65693295,19.25,2025/1/14 11:41,68.06,80.84,74.1,7.001,C919
106.6217512,29.66172874,18.25,2025/1/14 11:41,66.91,80.13,72.3,7.001,C919
106.6789412,29.76570189,26.75,2025/1/14 11:42,70.36,84.67,76.1,7.001,C919
106.6747034,29.75338519,23.75,2025/1/14 11:44,71.64,84.19,79,7.002,C919
106.6831201,29.77015436,29.25,2025/1/14 11:47,67.7,81.32,73,7.001,C919
106.6221642,29.66304302,18,2025/1/14 11:56,67.66,79.96,74,7.001,C919
106.6792041,29.76540148,28.25,2025/1/14 11:57,71.2,85.82,77.3,7.001,C919
106.6537499,29.74121869,24.25,2025/1/14 11:57,66.81,71.58,75.7,7.002,C919
106.6254473,29.67233956,16,2025/1/14 12:08,69.45,80.91,76.5,200,C919
106.6539055,29.74305332,21.25,2025/1/14 12:17,72.4,84.16,78.1,7.001,C919
106.6597742,29.75916803,31.75,2025/1/14 12:17,69.81,86.34,74,7.001,C919
106.677112,29.75780547,20.75,2025/1/14 12:33,73.92,86.47,81.2,7.001,C919
106.6804165,29.76625979,27.5,2025/1/14 12:34,69.43,85.45,73.2,7.001,C919
106.6955709,29.79145646,39.25,2025/1/14 12:34,69.13,84.32,73.2,7.001,C919
106.6510141,29.73454535,14,2025/1/14 12:35,74.88,86.92,82.2,7.001,C919
106.6220999,29.66281772,18.25,2025/1/14 12:36,67.42,81.04,72.1,7.001,C919
106.6539752,29.7436595,23.5,2025/1/14 12:42,70.21,84.52,76.6,7.001,C919
106.6495818,29.73036647,14.25,2025/1/14 12:50,66.71,81.63,70.9,7.001,C919
106.6633898,29.77041185,38.25,2025/1/14 12:51,68.22,83.4,71.5,7.001,C919
106.6976309,29.79087174,40.75,2025/1/14 12:52,69.32,84.38,73.6,7.001,C919
106.7440492,29.68972027,78.25,2025/1/14 12:57,69.57,80.71,76.5,200,C919
106.6508585,29.73455071,15.25,2025/1/14 13:03,74.14,86.92,80.8,7.001,C919
106.6673005,29.78228331,41.5,2025/1/14 13:04,67,80.62,72,7.001,C919
106.6565502,29.74861622,25,2025/1/14 13:09,68.53,83.71,72.2,7.001,C919
106.65088,29.73406255,14,2025/1/14 13:12,75.86,87,84.1,7.001,C919
106.6203564,29.65770543,19.25,2025/1/14 13:15,68.27,80.57,74,7.002,C919
106.6509658,29.73470092,13.75,2025/1/14 13:18,76.34,87.48,84.6,7.001,C919
106.659168,29.75874424,28,2025/1/14 13:19,68.08,83.26,72.4,7.001,C919
106.656357,29.75024164,26.25,2025/1/14 13:21,68.73,83.79,72.6,7.001,C919
106.6627139,29.76882935,36.25,2025/1/14 13:21,67.48,81.79,71.7,7.002,C919
106.6645163,29.77416158,40.5,2025/1/14 13:21,68.27,81.5,72.4,7.001,C919
106.6198361,29.65625167,19.5,2025/1/14 13:27,70.12,82.91,76.6,7.002,C919
106.6511697,29.73454535,17.25,2025/1/14 13:31,72.7,85.71,79,7.001,C919
106.6504616,29.73302722,14.25,2025/1/14 13:34,75.36,87.4,82.8,7.001,C919
106.6556329,29.74758089,23.25,2025/1/14 13:35,69.85,85.04,74.7,7.001,C919
106.6631001,29.76896882,36.75,2025/1/14 13:35,69.14,82.94,74.5,7.001,C919
106.6670591,29.78029847,44.75,2025/1/14 13:35,68,81.98,72.5,7.001,C919
106.6203779,29.65779662,19.25,2025/1/14 13:38,69.33,82.12,75.3,7.002,C919
106.6925615,29.78843629,41.75,2025/1/14 14:12,69.4,84.31,74.3,7.001,C919
106.6931677,29.78952527,38.75,2025/1/14 14:45,70.42,85.19,75.1,7.001,C919
106.6204852,29.65813458,19.5,2025/1/14 14:46,67.1,81.72,72.4,7,C919
106.6944551,29.78847921,44.5,2025/1/14 14:50,68.79,83.98,72.2,7.001,C919
106.6507781,29.73349392,16,2025/1/14 14:57,74.42,86.98,81,7.001,C919
106.6202331,29.65727091,19.5,2025/1/14 14:59,70.05,83.06,76.1,7,C919
106.6252434,29.67186749,16.75,2025/1/14 14:59,71.21,82,78,200,C919
106.6911721,29.85095859,61,2025/1/14 15:00,47.75,56.2,76.5,7.002,C919
106.6302752,29.67457652,31.25,2025/1/14 15:16,68.04,71.05,77.7,7.002,C919
106.6317558,29.67922747,27.5,2025/1/14 16:02,68.28,82.75,73.2,7.001,C919
106.6308278,29.67655063,29,2025/1/14 16:02,68.05,82.2,72.9,7.001,C919
106.6434342,29.71308231,12.5,2025/1/14 16:10,69.46,83.08,75.8,200,C919
106.6594791,29.67967272,30.5,2025/1/14 16:17,67.32,80.54,73.3,200,C919
106.6590071,29.70762134,18.5,2025/1/14 16:26,70.77,82.81,77.6,200,C919
106.657902,29.7045958,20,2025/1/14 16:26,69.96,83.57,74.9,200,C919
106.6359025,29.69071269,17.5,2025/1/14 16:30,68.8,82.02,74.7,200,C919
106.6316271,29.67824042,23.75,2025/1/14 16:30,69.02,81.33,75.8,7.001,C919
106.6359347,29.69041228,23.5,2025/1/14 16:40,69.69,83.49,76.1,200,C919
106.6301465,29.67239857,32.25,2025/1/14 16:41,68.04,81.84,73.6,7.001,C919
106.6588193,29.70622659,21.25,2025/1/14 16:47,71.29,85.09,76.4,200,C919
106.6575533,29.69668329,26.5,2025/1/14 16:47,67.43,81.75,74.1,7.001,C919
106.6592914,29.68722582,31,2025/1/14 16:48,69.32,84.09,75,200,C919
106.6309994,29.67825651,28.5,2025/1/14 19:27,70.39,85.02,76.7,7,C919
106.6594738,29.70720828,22,2025/1/14 21:38,69.62,83.6,74.4,200,C919
106.6422057,29.70913947,12,2025/1/14 22:31,69.16,80.62,74.4,200,C919
