,mape,mae,mse,r2,time_step,filters,kernel_size,unit_num,pool_size,attention_units,input_feature
0,0.03980918835958607,2.9543784179687496,22.02285104205614,-0.30272854017587436,20,64,8,32,2,64,Course_sin_Course_cos_Speed_Altitude_Ratio_BarometricPressure_RelativeHumidity_Wind_Temperature_Interaction_day_cycle_sin_day_cycle_cos_year_cycle_sin_year_cycle_cos_minute_cycle_sin_minute_cycle_cos_second_cycle_sin_second_cycle_cos_Distance_Model_Frequency_Model_Rareness
0,0.037364284127126064,2.77043236644848,19.662559843095107,-0.1631090739160057,20,64,8,64,2,64,Course_sin_Course_cos_Speed_Altitude_Ratio_BarometricPressure_RelativeHumidity_Wind_Temperature_Interaction_day_cycle_sin_day_cycle_cos_year_cycle_sin_year_cycle_cos_minute_cycle_sin_minute_cycle_cos_second_cycle_sin_second_cycle_cos_Distance_Model_Frequency_Model_Rareness
0,0.03774185234013755,2.793729193610114,20.028405754928023,-0.18475013708903765,20,64,12,16,2,64,Course_sin_Course_cos_Speed_Altitude_Ratio_BarometricPressure_RelativeHumidity_Wind_Temperature_Interaction_day_cycle_sin_day_cycle_cos_year_cycle_sin_year_cycle_cos_minute_cycle_sin_minute_cycle_cos_second_cycle_sin_second_cycle_cos_Distance_Model_Frequency_Model_Rareness
0,0.038022181116801466,2.820972707387563,20.611831194974833,-0.2192617891163895,20,64,12,32,2,64,Course_sin_Course_cos_Speed_Altitude_Ratio_BarometricPressure_RelativeHumidity_Wind_Temperature_Interaction_day_cycle_sin_day_cycle_cos_year_cycle_sin_year_cycle_cos_minute_cycle_sin_minute_cycle_cos_second_cycle_sin_second_cycle_cos_Distance_Model_Frequency_Model_Rareness
0,0.03787910418026276,2.806216367979307,20.412776121467466,-0.20748698644303665,20,64,12,64,2,64,Course_sin_Course_cos_Speed_Altitude_Ratio_BarometricPressure_RelativeHumidity_Wind_Temperature_Interaction_day_cycle_sin_day_cycle_cos_year_cycle_sin_year_cycle_cos_minute_cycle_sin_minute_cycle_cos_second_cycle_sin_second_cycle_cos_Distance_Model_Frequency_Model_Rareness
0,0.037466158011049605,2.7590854858398437,19.032992849439882,-0.0720566430891263,30,32,4,16,2,64,Course_sin_Course_cos_Speed_Altitude_Ratio_BarometricPressure_RelativeHumidity_Wind_Temperature_Interaction_day_cycle_sin_day_cycle_cos_year_cycle_sin_year_cycle_cos_minute_cycle_sin_minute_cycle_cos_second_cycle_sin_second_cycle_cos_Distance_Model_Frequency_Model_Rareness
0,0.03898142816224249,2.8885145281110494,20.727134371516826,-0.16748124012664145,30,32,4,32,2,64,Course_sin_Course_cos_Speed_Altitude_Ratio_BarometricPressure_RelativeHumidity_Wind_Temperature_Interaction_day_cycle_sin_day_cycle_cos_year_cycle_sin_year_cycle_cos_minute_cycle_sin_minute_cycle_cos_second_cycle_sin_second_cycle_cos_Distance_Model_Frequency_Model_Rareness
0,0.037248644670839916,2.7344000976562497,18.265520693329172,-0.028827833523917157,30,32,4,64,2,64,Course_sin_Course_cos_Speed_Altitude_Ratio_BarometricPressure_RelativeHumidity_Wind_Temperature_Interaction_day_cycle_sin_day_cycle_cos_year_cycle_sin_year_cycle_cos_minute_cycle_sin_minute_cycle_cos_second_cycle_sin_second_cycle_cos_Distance_Model_Frequency_Model_Rareness
0,0.037631899905627056,2.7811998517717633,18.888066023442732,-0.06389346203814195,30,32,8,16,2,64,Course_sin_Course_cos_Speed_Altitude_Ratio_BarometricPressure_RelativeHumidity_Wind_Temperature_Interaction_day_cycle_sin_day_cycle_cos_year_cycle_sin_year_cycle_cos_minute_cycle_sin_minute_cycle_cos_second_cycle_sin_second_cycle_cos_Distance_Model_Frequency_Model_Rareness
0,0.040318750005860965,2.9695429077148434,21.02645393321471,-0.18434078119110353,30,32,8,32,2,64,Course_sin_Course_cos_Speed_Altitude_Ratio_BarometricPressure_RelativeHumidity_Wind_Temperature_Interaction_day_cycle_sin_day_cycle_cos_year_cycle_sin_year_cycle_cos_minute_cycle_sin_minute_cycle_cos_second_cycle_sin_second_cycle_cos_Distance_Model_Frequency_Model_Rareness
